English,ASL Gloss
My mother was married in Pennsylvania., MY MOTHER MARRIED WHERE? PENNSYLVANIA
My father went to Rhode Island., MY FATHER WENT WHERE? RHODE ISLAND
My brother lives in South Carolina., MY BROTHER LIVE WHERE? SOUTH CAROLINA
My sister was born in South Dakota., MY SISTER BORN WHERE? SOUTH DAKOTA
My grandmother died in Vermont., MY GRANDMOTHER DIED WHERE? VERMONT
My grandfather is from Virginia., MY GRANDFATHER FROM WHERE? VIRGINIA
My aunt was married in Alabama., MY AUNT MARRIED WHERE? ALABAMA
My uncle went to Arkansas., MY UNCLE WENT WHERE? ARKANSAS
My cousin lives in Delaware., MY COUSIN LIVE WHERE? DELAWARE
My friend was born in Florida., MY FRIEND BORN WHERE? FLORIDA
My mother died in Illinois., MY MOTHER DIED WHERE? ILLINOIS
My father is from Indiana., MY FATHER FROM WHERE? INDIANA
My brother was married in Kansas., MY BROTHER MARRIED WHERE? KANSAS
My sister went to Nebraska., MY SISTER WENT WHERE? NEBRASKA
My grandmother lives in Nevada., MY GRANDMOTHER LIVE WHERE? NEVADA
My grandfather was born in Wisconsin., MY GRANDFATHER BORN WHERE? WISCONSIN
My aunt died in Wyoming., MY AUNT DIED WHERE? WYOMING
My uncle is from Connecticut., MY UNCLE FROM WHERE? CONNECTICUT
My cousin was married in Massachusetts., MY COUSIN MARRIED WHERE? MASSACHUSETTS
My friend went to Michigan., MY FRIEND WENT WHERE? MICHIGAN
My mother lives in Minnesota., MY MOTHER LIVE WHERE? MINNESOTA
My father was born in Mississippi., MY FATHER BORN WHERE? MISSISSIPPI
My brother died in Oklahoma., MY BROTHER DIED WHERE? OKLAHOMA
My sister is from Tennessee., MY SISTER FROM WHERE? TENNESSEE
My grandmother was married in Idaho., MY GRANDMOTHER MARRIED WHERE? IDAHO
My grandfather went to Iowa., MY GRANDFATHER WENT WHERE? IOWA
My aunt lives in Maine., MY AUNT LIVE WHERE? MAINE
My uncle was born in Montana., MY UNCLE BORN WHERE? MONTANA
My cousin died in Ohio., MY COUSIN DIED WHERE? OHIO
My friend is from Oregon., MY FRIEND FROM WHERE? OREGON
My mother was married in Utah., MY MOTHER MARRIED WHERE? UTAH
My father went to Alaska., MY FATHER WENT WHERE? ALASKA
My brother lives in Arizona., MY BROTHER LIVE WHERE? ARIZONA
My sister was born in California., MY SISTER BORN WHERE? CALIFORNIA
My grandmother died in Colorado., MY GRANDMOTHER DIED WHERE? COLORADO
My grandfather is from Hawaii., MY GRANDFATHER FROM WHERE? HAWAII
My aunt was married in New York., MY AUNT MARRIED WHERE? NEW YORK
My uncle went to Texas., MY UNCLE WENT WHERE? TEXAS
My cousin lives in Washington., MY COUSIN LIVE WHERE? WASHINGTON
My friend was born in West Virginia., MY FRIEND BORN WHERE? WEST VIRGINIA
Minnesota is in the north., MINNESOTA WHERE? NORTH
New York is in the east., NEW YORK WHERE? EAST
California is in the west., CALIFORNIA WHERE? WEST
Alabama is in the south., ALABAMA WHERE? SOUTH
Georgia is in the south., GEORGIA WHERE? SOUTH
Michigan is in the north., MICHIGAN WHERE? NORTH
Rhode Island is in the east., RHODE ISLAND WHERE? EAST
Wyoming is in the west., WYOMING WHERE? WEST
Wyoming is in the west., WYOMING WHERE? WEST
What clothes do you have?, CLOTHES YOU HAVE WHAT?
I have three dresses., 3 DRESSES I HAVE.
I have six coats., 6 COATS I HAVE.
I have seven shirts., 7 SHIRTS I HAVE
I have eight t-shirts., 8 T-SHIRTS I HAVE.
I have nine pants., 9 PANTS I HAVE.
I have ten shorts., 10 SHORTS I HAVE.
I have eleven socks., 11 SOCKS I HAVE.
I have twelve shoes., 12 SHOES I HAVE.
I have thirteen hats., 13 HATS I HAVE.
I have fourteen gloves., 14 GLOVES I HAVE.
I have fifteen belts., 15 BELTS I HAVE.
What color is the animal?, ANIMAL COLOR WHAT?
The frog is green., FROG COLOR WHAT? GREEN
The whale is blue., WHALE COLOR WHAT? BLUE
The baby duck is yellow., BABY DUCK COLOR WHAT? YELLOW
The butterfly is purple., BUTTERFLY COLOR WHAT? PURPLE
The squirrel is red., SQUIRREL COLOR WHAT? RED
The pig is pink., PIG COLOR WHAT? PINK
The tiger is orange., TIGER COLOR WHAT? ORANGE
The cow is brown., COW COLOR WHAT? BROWN
The deer is tan., DEER COLOR WHAT? TAN
The horse is white., HORSE COLOR WHAT? WHITE
The cat is black., CAT COLOR WHAT? BLACK
The mouse is gray., MOUSE COLOR WHAT? GRAY
The lion is gold., LION COLOR WHAT? GOLD
The snake is silver., SNAKE COLOR WHAT? SILVER
I love whales., WHALES I LOVE.
I like frogs., FROGS I LIKE.
Juneteenth is Tuesday June 19., JUNETEENTH WHEN? TUESDAY JUNE 19.
You are named what, YOU NAME
Are you Deaf, DEAF YOU
Are you a student, STUDENT YOU
Who is he, WHO HE
Who is she, WHO SHE
What is your name again, AGAIN NAME YOU
It is nice to meet you, NICE MEET-you
Are you a hearing person, HEARING YOU
Are you a teacher, ASL TEACHER YOU
Where are you learning sign, YOU LEARN SIGN WHERE
Why are you learning sign, YOU LEARN SIGN WHY 
How do you sign thanks, HOW SIGN T-H-A-N-K-S
Are they learning sign language, THEY LEARN SIGN
Who is your teacher, YOUR TEACHER WHO
Do you like learning sign language, YOU LIKE LEARN SIGN 
Hey what's your name, HEY NAME YOU 
Are you married, YOU MARRIED 
Do you have children, CHILDREN YOU 
How-many sisters do you have, YOU SISTER HOW-MANY 
Is your dad deaf, YOUR DAD DEAF 
Where do you work, YOU WORK WHERE 
Where do you live, YOU LIVE WHERE 
Is your name Bob, YOU NAME B-O-B YOU 
Are you divorced, YOU DIVORCED YOU 
How many brothers do you have, HOW-MANY BROTHER YOU 
Is your sister single, YOUR SISTER SINGLE 
Spell your dad's name slowly, YOUR DAD NAME SPELL SLOW 
Where do you live, YOU LIVE WHERE 
Do you have a sister, YOU HAVE SISTER 
What is your name, NAME YOU
What city do you live in, CITY YOU LIVE
Do you like learning sign, YOU LIKE LEARN SIGN
Is your house big, YOUR HOUSE BIG
How many children do you have, YOU CHILDREN HOW-MANY
How many bathrooms do you have in your house, YOUR HOUSE BATHROOM HOW-MANY
Where do you work, YOU WORK WHERE
Do you like your work, YOU LIKE YOUR WORK
Do you think I sign well, YOU THINK I SIGN GOOD
Where are you from, FROM WHERE YOU
Do you live here, YOU LIVE HERE
Is anyone in your family deaf, FAMILY DEAF
Is your house small, YOUR HOUSE SMALL
Do you go to school, YOU GO SCHOOL YOU
What is your favorite color, YOUR FAVORITE COLOR WHAT 
Do you like the color brown, YOU LIKE COLOR BROWN 
Do you draw well, YOU DRAW GOOD 
Are your parents divorced, YOUR PARENTS DIVORCE 
Is your chair green, YOUR CHAIR GREEN 
How old are you, how-OLD YOU 
In what city do you live, CITY YOU LIVE 
Do you want to go home now, YOU WANT GO HOME NOW 
What color is your paper, YOUR PAPER WHAT COLOR 
Have you ever lived in a big city, YOU LIVE BIG CITY PAST YOU 
Do you like red cars, YOU LIKE RED CAR 
Are you going to school tomorrow, TOMORROW YOU GO SCHOOL 
How many years have you lived here, YOU LIVE HERE HOW-MANY YEAR 
What type of candy do you like, CANDY YOU LIKE WHAT-KIND 
What type of cereal do you like, CEREAL YOU LIKE WHAT-KIND 
Do you like cookies and milk, YOU LIKE COOKIES WITH MILK 
How many cups of water do you drink daily, WATER YOU DRINK EVERYDAY CUP HOW-MANY YOU 
What is your favorite food, YOUR FAVORITE FOOD WHAT 
Are you hungry, HUNGRY YOU 
What type of pizza do you like, PIZZA YOU LIKE WHAT-KIND 
What kind of soup do you like, SOUP YOU LIKE WHAT-KIND 
Do you like to eat red apples, APPLE RED YOU LIKE EAT YOU 
What kind of cookies do you like, COOKIE YOU LIKE WHAT-KIND 
Does your sister like eggs, YOUR SISTER LIKE EGG 
If you eat three hamburgers will you be full, SUPPOSE YOU EAT 3 HAMBURGER WILL FULL YOU 
Don't you like candy, YOU DON'T LIKE CANDY 
What color is your belt, YOUR BELT COLOR 
When do you change clothes, YOU CHANGE CLOTHES WHEN 
What color is a doctor's lab coat, DOCTOR L-A-B COAT COLOR 
Where should we put dirty clothes, CLOTHES DIRTY SHOULD PUT WHERE 
Who in this room has glasses, WHO THIS ROOM HAVE GLASSES 
Who has a hearing aid, HEARING-AID WHO HAVE 
Do you like doing laundry, YOU LIKE WASHING-MACHINE CLOTHES 
What color is your shirt, YOUR SHIRT what-COLOR 
How many pairs of shoes do you have, SHOES YOU HAVE HOW-MANY  
What color are your socks, YOUR SOCKS COLOR 
Do you live in a basement apartment, YOU LIVE BASEMENT APT 
What color is your couch, YOUR COUCH COLOR 
What color is that table, THAT TABLE COLOR 
What kind of toothpaste do you use, WHAT-KIND TOOTHPASTE YOU 
Would you rather cook using a stove or a microwave, YOU PREFER STOVE MICROWAVE WHICH 
What color is your fridge, YOUR REFRIGERATOR WHAT COLOR 
Have you ever been in an ambulance, AMBULANCE BEFORE YOU 
Is there a window in your bedroom, YOUR BEDROOM HAVE WINDOW 
How many bathrooms are there in your house, YOUR HOUSE HOW-MANY BATHROOM 
Do cats like to eat birds, CAT LIKE EAT BIRD 
What type of books do you like to read, BOOK YOU LIKE READ WHAT-KIND 
Do fish like to eat bugs, FISH LIKE EAT BUG 
Have you ever taken an ASL class, A-S-L CLASS YOU PAST TAKE  
Do you want a horse, HORSE YOU WANT 
Is your sister fat, YOUR SISTER FAT 
Do you like to fool people, YOU LIKE FOOL PEOPLE 
What color is your brother's hair, YOUR BROTHER HAIR COLOR 
Is your dad short, YOUR DAD SHORT 
Is your grandpa skinny, YOUR GRANDPA SKINNY 
Are old people weak, OLD PEOPLE WEAK 
How many girls in this class have straight hair, GIRL THIS CLASS STRAIGHT-HAIR HOW-MANY 
Are most farmers strong, MOST FARMER STRONG 
How tall are you, YOU HOW-TALL 
Does your dad have blue eyes, YOUR DAD EYES BLUE 
Do you think my shoes are ugly, MY SHOES YOU THINK UGLY 
Do you ride the bus to school, BUS YOU RIDE-IN SCHOOL YOU 
How often do you go to the dentist, YOU GO DENTIST HOW OFTEN 
How many jobs have you applied for previously, JOB YOU APPLY BEFORE HOW-MANY 
How often do you get your haircut, YOU HAIRCUT HOW OFTEN 
Why are most postal employees thin, MOST POST-OFFICE WORKER THIN WHY 
Who is your supervisor, YOUR SUPERVISOR WHO 
Why do bosses fire employees, BOSS FIRE WORKER WHY 
Why do pilots use sunglasses, PILOT USE S-U-N GLASSES WHY 
What do you enjoy doing, YOU ENJOY what-DO 
Do you like to dance, YOU LIKE DANCE 
Do you like to fish, YOU LIKE FISHING 
Do you wish you were an attorney, YOU WISH your-SELF LAWYER
What is your major in school or your line of work, YOUR MAJOR-[profession] WHAT 
Does your church send out missionaries, YOUR CHURCH SEND MISSIONARY 
Was your dad in the Army, YOUR DAD ARMY BEFORE 
Does your house need painting, YOUR HOUSE NEED PAINT 
How many pages is your resume, YOUR RESUME HOW-MANY PAGE 
Can you run your own business, CAN YOU MANAGE YOUR-SELF BUSINESS 
Have you registered for school next year, next-YEAR SCHOOL REGISTER FINISH YOU 
What is your worst class, YOUR WORST CLASS WHAT 
Would you mind lending me $5, 5-DOLLAR DON'T-MIND LEND ME 
Does it have to be dark for you to sleep, FOR YOU SLEEP MUST DARK 
Do you like gardening, YOU LIKE TAKE-CARE-OF PLANT YOU
How have you been doing, HOW YOU UP-TO-NOW
What do you not care about, TOPIC YOU DON'T CARE WHAT
When did you start learning how to sign, YOU START LEARN LEARN SIGN WHEN 
